from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5954808;539;37754;158;100;36088;169;153;46317;188;157;46317;69;39730;62;39731;38
5785641;5954808;502;35138;154;97;33483;177;156;46523;194;155;46523;68;39941;59;39942;37
5785642;5954808;503;35217;154;97;33483;181;158;46641;194;157;46641;68;39343;59;37567;37
5785643;5954808;507;35510;146;93;33790;190;162;46934;194;161;46934;68;41225;59;41438;37
5787544;5954808;532;37264;155;98;35548;168;146;45828;176;150;45828;68;39305;61;39306;37
5787545;5954808;533;37334;155;98;35548;168;147;45897;176;151;45897;68;39591;61;39592;37
5787546;5954808;537;37559;155;98;35548;169;151;46123;188;155;46123;67;38369;59;36593;37
5787547;5954808;500;35024;154;97;33483;185;164;47022;193;163;47022;67;38760;59;36985;37
5787548;5954808;497;34798;154;97;33483;182;160;46750;190;159;46750;67;38881;59;37106;37
5787549;5954808;499;34932;154;97;33483;185;164;47042;191;163;47042;68;39124;59;37349;37
5787550;5954808;482;33705;146;93;33790;191;149;57406;193;150;52931;68;41024;59;41236;37
5789447;5954808;493;34498;143;90;32786;128;107;43061;140;111;43061;64;37115;57;37116;35
5789448;5954808;493;34495;143;90;32783;128;107;43081;140;111;43081;64;37480;57;37481;35
5789449;5954808;494;34555;143;90;32919;128;108;43142;140;112;43142;66;37905;58;37907;35
5789450;5954808;536;37501;143;90;32919;169;150;46064;188;154;46064;66;38224;58;38225;35
5789451;5954808;536;37539;155;98;35548;169;150;46102;188;154;46102;68;39552;61;39553;37
5789452;5954808;492;34460;155;98;35548;182;158;43616;184;157;43616;67;38268;59;36493;37
5789453;5954808;493;34496;154;97;33483;182;158;43653;184;157;43653;67;38445;59;36670;37
5789454;5954808;494;34583;154;97;33483;182;160;43740;186;163;47031;67;38709;59;36933;37
5789455;5954808;497;34759;146;93;33823;186;162;43916;190;161;43916;68;38930;59;37154;37
5789456;5954808;479;33544;146;93;33823;184;147;57246;194;148;52770;69;40934;61;41147;41
5791353;5954808;498;34857;147;93;33836;130;112;43421;146;116;43421;64;36705;57;36706;34
5791354;5954808;495;34625;142;90;32629;128;109;43189;146;113;43189;65;37296;58;37297;35
5791355;5954808;488;34148;142;90;32541;122;104;42850;140;108;42850;65;37477;58;37478;35
5791356;5954808;489;34210;142;90;32489;128;109;43198;146;113;43198;66;38102;58;38103;35
