from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5870551;471;32968;136;86;33166;224;190;56122;237;207;49381;67;46137;59;46137;40
5785641;5870551;468;32775;159;101;37434;232;193;56328;237;174;54000;70;46348;61;46348;40
5785642;5870551;469;32855;159;101;37434;232;195;56446;237;176;54118;70;46174;61;44398;40
5785643;5870551;474;33148;160;101;39513;239;187;61431;237;180;54411;70;48731;61;46954;41
5787544;5870551;464;32478;133;84;32627;217;183;55632;222;183;60325;67;45711;58;45711;40
5787545;5870551;465;32547;133;84;32627;217;184;55702;222;184;60394;67;45997;58;45997;40
5787546;5870551;468;32773;133;84;32627;224;188;55927;237;204;49186;69;45200;61;43424;40
5787547;5870551;467;32661;159;101;37434;239;200;56827;233;182;54499;69;45591;61;43815;40
5787548;5870551;463;32436;159;101;37434;239;197;56554;226;178;54227;69;45713;61;43936;40
5787549;5870551;465;32570;159;101;37434;239;201;56847;229;182;54519;70;45956;61;44180;41
5787550;5870551;507;35518;160;101;39513;224;187;71004;237;195;65267;70;48530;61;46753;41
5789447;5870551;431;30204;123;78;30528;194;159;43694;176;143;57558;63;43521;55;43521;37
5789448;5870551;435;30484;123;78;30531;194;159;43715;176;143;57578;63;43886;55;43886;37
5789449;5870551;440;30832;126;80;31222;194;160;43775;176;144;57639;64;44312;56;44312;37
5789450;5870551;467;32715;126;80;31222;224;187;55869;237;203;49128;64;44630;56;44630;37
5789451;5870551;468;32753;133;84;32627;224;187;55907;237;203;49166;67;45958;58;45958;40
5789452;5870551;459;32097;133;84;32627;239;210;44250;218;176;51093;69;45100;60;43323;40
5789453;5870551;459;32134;159;101;37434;239;203;57033;218;176;51130;69;45276;61;43500;40
5789454;5870551;460;32221;159;101;37434;239;201;56836;218;185;49151;69;45540;61;43764;40
5789455;5870551;463;32397;160;101;39546;243;214;44549;226;180;51393;70;45761;61;43985;41
5789456;5870551;505;35357;160;101;39546;217;184;70843;237;192;65106;76;48440;67;46663;46
