from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5967121;478;33425;141;89;33544;183;170;41721;195;164;52150;64;39259;55;39259;36
5785641;5967121;459;32119;146;92;32526;190;173;41927;201;160;45517;66;39470;57;39470;36
5785642;5967121;460;32198;146;92;32526;193;174;42044;201;161;45635;66;39297;57;37520;36
5785643;5967121;464;32492;155;98;34586;204;179;42337;201;166;45928;66;41853;57;40077;36
5787544;5967121;471;32936;138;87;33004;181;163;41231;185;157;51660;63;38833;54;38833;35
5787545;5967121;471;33005;138;87;33004;181;164;41300;185;158;51729;63;39120;54;39120;35
5787546;5967121;475;33231;138;87;33004;183;167;41526;195;161;51955;66;38323;57;36546;36
5787547;5967121;457;32005;146;92;32526;198;180;42426;200;167;46016;66;38714;57;36938;36
5787548;5967121;454;31780;146;92;32526;195;176;42153;197;163;45744;66;38835;57;37059;36
5787549;5967121;456;31914;146;92;32526;198;180;42445;199;167;46036;66;39079;57;37302;36
5787550;5967121;493;34496;155;98;34586;208;165;62458;202;159;46084;66;41652;57;39876;36
5789447;5967121;438;30661;129;81;30906;141;124;46228;154;118;48893;59;36644;51;36644;33
5789448;5967121;442;30942;129;81;30909;141;125;46248;154;118;48914;59;37008;51;37008;33
5789449;5967121;447;31290;131;83;31599;141;125;46309;154;119;48974;60;37434;52;37434;33
5789450;5967121;474;33172;131;83;31599;183;166;41468;195;161;51896;60;37753;52;37753;33
5789451;5967121;474;33210;138;87;33004;183;167;41506;195;161;51935;63;39080;54;39080;35
5789452;5967121;449;31441;138;87;33004;195;174;39020;192;161;42610;65;38222;56;36446;36
5789453;5967121;450;31478;146;92;32526;195;175;39056;192;162;42647;66;38399;57;36623;36
5789454;5967121;451;31564;146;92;32526;195;176;39143;193;167;46025;65;38663;57;36886;36
5789455;5967121;453;31741;155;98;34619;200;178;39319;197;165;42910;66;38884;57;37107;36
5789456;5967121;491;34336;155;98;34619;200;163;62297;203;156;45923;72;41562;63;39786;42
5791353;5967121;446;31207;127;80;30467;144;129;46588;159;123;49253;58;36234;50;36234;32
5791354;5967121;442;30975;130;82;31238;141;126;46355;159;120;49021;60;36825;52;36825;33
5791355;5967121;443;31004;130;82;31151;132;107;35551;154;115;48682;60;37006;51;37006;33
5791356;5967121;446;31192;131;83;31532;141;126;46364;159;120;49030;60;37631;52;37631;33
5791357;5967121;447;31279;131;83;31599;144;129;46433;159;122;49098;60;37745;52;37745;33
5791358;5967121;448;31330;131;83;31599;192;173;38908;189;160;42499;60;37717;52;35940;33
5791359;5967121;445;31132;131;83;31599;186;170;38711;183;164;49140;65;38040;56;36263;36
5791360;5967121;446;31187;146;92;32526;189;170;38765;185;157;42356;65;38408;56;36632;36
5791361;5967121;451;31540;155;98;34619;195;176;39118;192;163;42709;65;38762;56;36986;36
