"3. Inhabitants' disposable monetary income 2016"

"Postal code area","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)"
"01760 Seutula   (Vantaa )",254,472
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0
"02100 Tapiola   (Espoo )",595,1621
"02110 Otsolahti   (Espoo )",378,922
"02120 Länsikorkee-Suvikumpu   (Espoo )",371,863
"02130 Pohjois-Tapiola   (Espoo )",729,2305
"02140 Laajalahti   (Espoo )",434,1268
"02150 Otaniemi   (Espoo )",2407,193
"02160 Westend   (Espoo )",435,1338
"02170 Haukilahti   (Espoo )",730,2125
"02180 Mankkaa   (Espoo )",716,2604
"02200 Niittykumpu   (Espoo )",921,2685
"02210 Olari   (Espoo )",1531,3052
"02230 Matinkylä   (Espoo )",3139,5023
"02240 Friisilä   (Espoo )",223,880
"02250 Henttaa   (Espoo )",531,812
"02260 Kaitaa   (Espoo )",441,1037
"02270 Finnoo-Eestinmalmi   (Espoo )",277,762
"02280 Malminmäki-Eestinlaakso   (Espoo )",514,1180
"02290 Puolarmetsän sairaala   (Espoo )",..,..
"02300 Nöykkiönpuro   (Espoo )",294,944
"02320 Espoonlahti   (Espoo )",2287,3672
"02330 Saunalahti-Kattilalaakso   (Espoo )",985,2854
"02340 Latokaski   (Espoo )",500,1479
"02360 Soukka   (Espoo )",1351,2571
"02380 Suvisaaristo   (Espoo )",86,237
"02600 Etelä-Leppävaara   (Espoo )",1531,2486
"02610 Kilo   (Espoo )",1112,1352
"02620 Karakallio   (Espoo )",926,2015
"02630 Nihtisilta   (Espoo )",414,921
"02650 Pohjois-Leppävaara   (Espoo )",1428,2606
"02660 Lintuvaara   (Espoo )",914,1781
"02680 Uusmäki   (Espoo )",234,772
"02700 Kauniainen   (Kauniainen )",1313,3490
"02710 Viherlaakso   (Espoo )",777,1659
"02720 Lähderanta   (Espoo )",375,803
"02730 Jupperi   (Espoo )",461,1757
"02740 Bemböle-Pakankylä   (Espoo )",352,790
"02750 Sepänkylä-Kuurinniitty   (Espoo )",699,1867
"02760 Tuomarila-Suvela   (Espoo )",2080,2816
"02770 Espoon Keskus   (Espoo )",1753,1997
"02780 Kauklahti   (Espoo )",1081,2580
"02810 Gumböle-Karhusuo   (Espoo )",146,487
"02820 Nupuri-Nuuksio   (Espoo )",191,424
"02860 Siikajärvi   (Espoo )",81,170
"02920 Niipperi   (Espoo )",523,1459
"02940 Lippajärvi-Järvenperä   (Espoo )",1091,2864
"02970 Kalajärvi   (Espoo )",392,966
"02980 Lakisto   (Espoo )",67,59
"45130 Korjala-Kaunisnurmi   (Kouvola )",410,208
