from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5934915;368;25726;104;66;25931;132;120;27824;146;119;27956;42;25920;37;25920;25
5785641;5934915;330;23110;103;65;23327;141;123;28030;152;116;28162;44;26131;39;26131;25
5785642;5934915;331;23190;103;65;23327;143;125;28147;153;117;28280;44;25532;39;23756;25
5785643;5934915;335;23482;112;71;25387;149;129;28440;154;122;28573;44;28089;39;26312;25
5787544;5934915;361;25237;101;64;25392;128;113;27334;137;112;27467;41;25494;36;25494;24
5787545;5934915;362;25306;101;64;25392;128;114;27403;137;113;27536;41;25780;36;25780;24
5787546;5934915;365;25532;101;64;25392;132;117;27629;145;116;27762;43;24558;39;22782;24
5787547;5934915;329;22996;103;65;23327;148;130;28528;155;123;28661;43;24949;39;23173;24
5787548;5934915;325;22771;103;65;23327;146;126;28256;151;119;28388;44;25071;39;23294;24
5787549;5934915;327;22905;103;65;23327;148;131;28548;155;123;28681;44;25314;39;23537;25
5787550;5934915;364;25487;112;71;25387;168;132;40400;163;120;39653;44;27887;39;26111;25
5789447;5934915;321;22470;92;58;22630;88;69;24700;111;72;24700;37;23304;33;23304;21
5789448;5934915;321;22467;92;58;22627;88;70;24720;111;73;24720;37;23669;33;23669;21
5789449;5934915;322;22528;92;58;22763;88;70;24781;111;73;24781;38;24095;34;24095;22
5789450;5934915;364;25473;92;58;22763;132;117;27571;145;115;27703;38;24413;34;24413;22
5789451;5934915;364;25512;101;64;25392;132;117;27609;145;116;27741;41;25741;36;25741;24
5789452;5934915;320;22432;101;64;25392;146;125;25123;147;117;25255;43;24457;38;22681;24
5789453;5934915;321;22469;103;65;23327;146;125;25159;147;118;25292;43;24634;39;22858;24
5789454;5934915;322;22556;103;65;23327;146;126;25246;148;123;28670;43;24898;38;23122;24
5789455;5934915;325;22732;112;71;25420;151;129;25422;153;122;25555;44;25119;39;23343;25
5789456;5934915;362;25327;112;71;25420;163;129;40239;164;118;39492;50;27798;45;26021;31
5791353;5934915;326;22830;90;57;22936;92;74;25060;115;77;25060;36;22895;32;22895;21
5791354;5934915;323;22598;91;58;22472;88;71;24828;115;74;24828;38;23486;33;23486;21
5791355;5934915;316;22121;91;58;22385;82;66;24489;111;69;24489;37;23666;33;23666;21
5791356;5934915;317;22182;91;58;22333;88;71;24837;115;74;24837;38;24292;34;24292;22
5791357;5934915;318;22270;92;58;22763;92;74;24905;115;77;24905;38;24405;34;24405;22
5791358;5934915;319;22321;92;58;22763;145;123;25012;144;116;25144;38;23952;34;22175;22
5791359;5934915;316;22123;92;58;22763;139;120;24814;137;119;24946;43;24275;38;22499;24
5791360;5934915;317;22178;103;65;23327;142;121;24868;140;114;25001;43;24643;38;22867;24
5791361;5934915;322;22531;112;71;25420;146;126;25222;147;119;25354;43;24997;38;23221;24
5791362;5934915;326;22842;112;71;25420;151;131;25533;155;123;25665;44;25306;39;23529;25
5791363;5934915;362;25322;112;71;25420;163;129;40234;164;118;39488;50;27693;45;25917;31
5793258;5934915;332;23216;94;60;23430;98;80;25446;120;83;25446;38;24159;34;24159;22
5793259;5934915;327;22916;94;59;23374;93;76;25145;115;79;25145;38;23999;33;23999;22
5793260;5934915;328;22950;93;59;22960;93;76;25180;115;79;25180;38;23963;33;23963;21
5793261;5934915;314;21994;90;57;22120;88;70;24624;111;73;24624;38;23744;34;23744;21
5793262;5934915;313;21889;90;57;22162;88;70;24622;111;73;24622;38;24168;34;24168;22
5793263;5934915;313;21937;90;57;22162;97;75;24205;115;78;24205;38;25274;34;25274;22
5793264;5934915;312;21868;90;57;21874;139;117;24558;133;115;24691;43;23896;38;22120;24
5793265;5934915;313;21908;89;57;21812;139;117;24599;134;116;24731;43;24229;38;22452;24
5793266;5934915;313;21917;95;60;21857;139;117;24608;134;116;24740;43;24426;38;22649;24
5793267;5934915;324;22692;95;60;21857;148;128;25382;150;121;25515;43;25221;38;23444;24
5793268;5934915;330;23089;112;71;25420;158;142;26558;155;127;25912;44;25447;39;23671;25
5793269;5934915;360;25187;109;69;24940;175;139;40915;163;128;40169;49;24259;44;22483;30
5793270;5934915;357;25007;109;69;24940;170;136;40735;163;125;39988;49;27148;44;25372;30
5795164;5934915;333;23291;94;59;23374;102;81;25521;120;84;25521;38;24283;34;24283;22
5795165;5934915;334;23372;94;59;23374;105;82;25602;120;85;25602;38;26059;34;26059;22
5795166;5934915;333;23302;90;57;21850;102;81;25532;120;84;25532;41;25908;37;25908;24
5795167;5934915;310;21668;90;57;22087;88;71;23923;115;74;23923;38;24294;34;24294;22
5795168;5934915;310;21669;90;57;21874;88;71;23924;115;74;23924;40;24856;35;24856;23
5795169;5934915;311;21750;90;57;21874;88;72;24018;115;75;24018;40;25078;35;25078;23
5795170;5934915;309;21598;89;57;21812;139;113;24289;132;111;24421;40;23635;35;21858;23
5795171;5934915;307;21517;89;56;21715;139;112;24207;132;110;24340;43;23936;38;22159;24
5795172;5934915;312;21852;95;60;21857;139;116;24542;133;115;24674;43;24378;38;22602;24
5795173;5934915;315;22080;95;60;21857;139;120;24771;134;118;24903;43;24469;38;22693;24
5795174;5934915;313;21890;95;60;21857;139;117;24580;133;115;24713;43;24103;38;22327;24
5795175;5934915;312;21827;95;60;21857;139;116;24518;133;115;24650;43;24240;38;22463;24
5795176;5934915;358;25043;92;59;21668;170;137;40771;163;126;40025;44;23764;39;21987;25
5797069;5934915;318;22249;88;55;22244;107;66;21999;111;97;23444;-1;-1;-1;-1;-1
5797070;5934915;336;23489;88;55;22244;105;84;25719;120;87;25719;39;24561;35;24561;23
5797071;5934915;337;23606;90;57;21850;105;86;25836;120;89;25836;42;25961;37;25961;24
5797072;5934915;311;21759;90;57;21850;88;72;24015;115;75;24015;41;25678;36;25678;23
5797073;5934915;307;21474;90;57;21850;88;68;23730;111;71;23730;39;25762;35;25762;22
5797074;5934915;305;21357;89;56;21605;82;66;23625;111;69;23625;39;24627;35;24627;22
5797075;5934915;308;21565;89;57;21812;88;69;23834;111;72;23834;40;24960;35;24960;23
5797076;5934915;304;21281;89;56;21715;134;108;23972;131;107;24104;41;23582;36;21805;24
5797077;5934915;306;21408;89;56;21715;134;110;24098;132;109;24231;43;24014;38;22238;24
5797078;5934915;311;21742;95;60;21857;139;115;24432;132;113;24565;43;24551;38;22775;24
5797079;5934915;309;21649;95;60;21857;139;113;24339;132;112;24472;43;24388;38;22612;24
5797080;5934915;310;21693;95;60;21857;139;114;24384;132;113;24516;43;23599;38;21822;24
5797081;5934915;310;21680;95;60;21857;139;114;24370;132;112;24502;43;24219;38;22442;24
5797082;5934915;307;21473;92;59;21668;145;130;23809;140;124;39888;44;23750;39;21974;25
5798974;5934915;298;20876;83;53;20813;92;47;20626;94;77;22071;32;20705;28;20705;17
5798975;5934915;341;23849;96;61;24066;107;89;26079;130;92;26079;39;24908;35;24908;23
5798976;5934915;341;23844;96;61;24066;107;89;26074;130;92;26074;39;24796;35;24796;23
5798977;5934915;341;23851;90;57;21850;107;89;26081;130;92;26081;41;26001;36;26001;23
5798978;5934915;304;21290;87;55;21274;88;69;23553;111;72;23553;41;25472;36;25472;23
5798979;5934915;302;21113;87;55;21163;85;67;23376;111;70;23376;41;25831;37;25831;24
5798980;5934915;302;21113;87;55;21282;85;67;23376;111;70;23376;40;24990;35;24990;23
5798981;5934915;305;21384;89;56;21582;88;71;23648;115;74;23648;41;25378;36;25378;24
5798982;5934915;302;21113;89;56;21715;129;106;23804;127;104;23936;41;23442;36;21666;24
5798983;5934915;300;20988;89;56;21715;129;104;23678;126;103;23811;42;23382;37;21606;23
5798984;5934915;300;20981;92;58;21124;126;99;23804;126;102;23804;42;23374;37;21597;23
5798985;5934915;305;21346;92;58;21124;134;109;24036;131;108;24169;42;23266;37;21490;23
5798986;5934915;303;21208;95;60;21857;129;107;23898;131;106;24031;42;23532;37;21755;23
5798987;5934915;307;21464;95;60;21857;134;111;24154;132;109;24287;43;23991;38;22215;24
5798988;5934915;301;21057;90;57;21134;137;124;23393;137;121;22692;43;23226;38;21450;24
